mlbam_id,full_name
802415,Chandler Simpson
621439,Byron Buxton
641835,Tim Mayza
669364,Xavier Edwards
671277,Luis García
668751,Cal Mitchell
687330,Kevin Kelly
678662,Ezequiel Tovar
542208,Carlos Pérez
656353,Tucker Davidson
805367,Chase Meidroth
621121,Lance Mccullers
701762,Nick Kurtz
664068,Scott Kingery
674072,Tommy Henry
656924,Ryder Ryan
656232,Brandon Bielak
806188,Cade Gibson
680779,Henry Davis
683004,Jack Leiter
640902,Jhonny Pereda
675540,Xzavion Curry
641427,Alan Busenitz
802686,Hayden Harris
663969,Tyler Phillips
671289,Tyler Freeman
664353,José Urquidy
694297,Brandon Pfaadt
621057,Justin Garza
683079,Omar Martinez
689149,Chad Dallas
605540,Brandon Woodruff
685326,Mccade Brown
680729,Garrett Mcdaniels
592273,Brandon Drury
676480,José Barrero
676917,Cade Cavalli
701121,Logan Vanwey
669735,Chris Rodriguez
663897,Luke Williams
666134,Nolan Jones
676684,Will Vest
663559,Bailey Falter
690925,Clayton Beeter
681807,David Fry
681962,Vinny Capra
663455,Konnor Pilkington
672275,Patrick Bailey
671737,Taj Bradley
677587,Brayan Rocchio
669304,José Miranda
592206,Nick Castellanos
682227,Brandon Williamson
660730,Elvin Rodríguez
805811,Bryce Eldridge
650859,Luis Rengifo
669701,Josh Smith
666150,Dominic Fletcher
682243,Bryce Miller
690155,Matt Pushard
813349,Connelly Early
681810,Austin Warren
607074,Carlos Rodón
622569,Pablo Reyes
687282,Gabriel Rincones
670280,David Bednar
676617,Riley O'Brien
671083,Buddy Kennedy
676356,Jonny Deluca
671096,Andrew Abbott
622379,Luis Castillo
664034,Ty France
663574,Tony Santillan
642086,Dominic Smith
640448,Kyle Finnegan
670810,Logan Gillaspie
675660,Shane Drohan
680702,Joey Gerber
670042,Luke Raley
628452,Raisel Iglesias
671106,Logan Allen
686948,Drake Baldwin
669236,Jeremiah Jackson
545341,Randal Grichuk
592717,Aaron Sanchez
669911,Michael Toglia
680730,Mitchell Parker
542881,Tyler Anderson
703615,Jose Cabrera
682842,Abner Uribe
666023,Freddy Fermin
608638,J. T. Chargois
655316,Andruw Monasterio
681508,Mickey Gasper
800050,Chase Delauter
605154,John Brebbia
699911,Dugan Darnell
687849,Zak Kent
676702,Hunter Stratton
682052,Jacob Lopez
669422,Matt Sauer
680736,Justin Wrobleski
641645,Luis Guillorme
676391,Ernie Clement
669371,Cole Henry
668974,Maverick Handley
664854,Ryan Helsley
695076,Rhett Lowder
656180,Riley Adams
683742,Jose Franco
660853,Enyel De Los Santos
677053,Andrew Nardi
666711,Joel Peguero
687093,Vaughn Grissom
696136,Jordan Wicks
663687,Hogan Harris
691019,Kyle Teel
700669,Gordon Graceffo
694203,Denzer Guzman
805347,Jim Jarvis
669357,Nolan Gorman
670766,Darren Mccaughan
571578,Patrick Corbin
641329,Bryan Baker
807799,Masataka Yoshida
682989,Victor Mederos
571771,Enrique Hernández
673548,Seiya Suzuki
608723,Austin Voth
805300,Jakob Marsee
695490,Edwin Arroyo
573124,Taylor Rogers
815873,Sean Keys
506433,Yu Darvish
660757,Oscar González
641743,Anthony Kay
680769,Cj Alexander
669618,Joe Barlow
650644,Aaron Civale
666464,Jerar Encarnacion
674841,Andrew Alvarez
663978,Chris Paddack
666745,Jhony Brito
802139,Jj Wetherholt
702275,Jr Ritchie
686668,Brenton Doyle
596112,Robert Stephenson
519008,T. J. Mcfarland
694359,Niko Kavadas
682790,Wikelman González
676263,Jack Dreyer
571760,Andrew Heaney
693645,Cam Schlittler
682825,Luis Mey
664294,Dauri Moreta
687888,Brandon Walter
605400,Aaron Nola
678024,Mike Vasil
814439,Ryan Waldschmidt
683679,Jesus Rodriguez
806198,Cooper Pratt
694514,Sterlin Thompson
669326,Bryce Teodosio
623474,Jimmy Herget
686580,Justin Slaten
650490,Yandy Díaz
453286,Max Scherzer
686249,Nathan Wiles
664238,Dylan Moore
691946,George Klassen
682928,Cj Abrams
683618,Edgardo Henriquez
690987,Robert Hassell
571970,Max Muncy
668909,Gavin Williams
693821,Bryce Elder
641907,Patrick Murphy
663992,Richard Lovelady
685068,Carson Ragsdale
667670,Brent Rooker
691587,Eury Pérez
689296,Anthony Nunez
676571,Pj Poulin
679885,Justin Martinez
672359,Tirso Ornelas
467793,Carlos Santana
683068,Zach Penrod
642851,Austin Wynns
800048,Parker Messick
641857,Ryan Mcmahon
695600,Carter Jensen
669208,Ryan Bliss
686452,Drew Millas
570632,José Ureña
660604,Alan Rangel
677950,Alek Thomas
571946,Shelby Miller
685299,Tanner Gordon
686701,Ryan Bergert
592426,Luke Jackson
687134,Bradley Blalock
657585,Reed Garrett
671212,Joe Boyle
686751,Seth Johnson
664702,Myles Straw
689172,Brett Wisely
689017,Landon Knack
657756,Connor Seabold
691011,Drew Romo
592696,Eddie Rosario
570482,Gio Urshela
694819,Jacob Misiorowski
